NM_MUNICIPIO,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,PERCENTAGE
ATIBAIA,ANA BEATHALTER,PRD,5537,0.0704202065421987
ATIBAIA,LUCAS FRIES,PSOL,1561,0.01985297858269319
ITARIRI,CARLOS ROCHA,PL,3401,0.4477356503422854
ITARIRI,BRITTO,UNIÃO,2846,0.37467087941021593
ITARIRI,DR ROBSON,PT,847,0.11150605581885202
ITARIRI,ALVARO ROCHA,PSD,502,0.06608741442864666
DOURADO,JUNINHO ROGANTE,REPUBLICANOS,3205,0.5882892804698973
DOURADO,GINO TORREZAN,PL,2243,0.4117107195301028
PANORAMA,ITO,PP,2787,0.3562571903361882
PANORAMA,LUIS CARLOS,PSD,2752,0.35178320337466445
PANORAMA,DR GIULIO PIRES,PL,1479,0.189057906174102
PANORAMA,TALITHA DALLAS,MDB,530,0.06774894541735907
PANORAMA,LAERCIO DA BORRACHARIA,PT,275,0.03515275469768631
AMERICANA,CHICO SARDELLI,PL,85932,0.7274728251667739
AMERICANA,MARIA GIOVANA,PDT,27660,0.23416071247163997
AMERICANA,ENGº RICARDO PASCOTE,UNIÃO,4532,0.03836646236158613
AMÉRICO DE CAMPOS,RAFAEL MARIOTO,PL,2444,0.5947919201752251
AMÉRICO DE CAMPOS,ESTEVINHO,REPUBLICANOS,1665,0.40520807982477486
JARDINÓPOLIS,DEGAN,MDB,7597,0.39362694300518136
JARDINÓPOLIS,CORONEL GUSTAVO FALCÃO,PL,6832,0.3539896373056995
JARDINÓPOLIS,AMAURI PEGORARO,PP,4871,0.25238341968911915
MIRASSOL,DR EDSON,PSD,13970,0.4757040215207546
MIRASSOL,CACO NAVARRETE,UNIÃO,5058,0.1722341403616304
MIRASSOL,CAPITÃO KUNII,PL,4400,0.14982803827425342
MIRASSOL,JUNIOR RICCI,PDT,4392,0.14955562365920932
MIRASSOL,DONEGA NETO,REPUBLICANOS,896,0.030510436884938878
MIRASSOL,ADRIANO NASCIMENTO,PSOL,543,0.018490141996118092
MIRASSOL,ELIEZER MILANI,PRTB,57,0.001940954132189192
MIRASSOL,ODELCIO FERNANDES,AVANTE,51,0.001736643170906119
