NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,PERCENTAGE
RICARDO NUNES,MDB,1801139,0.2948312266504241
GUILHERME BOULOS,PSOL,1776127,0.2907369737132658
PABLO MARÇAL,PRTB,1719274,0.28143061827442595
TABATA AMARAL,PSB,605552,0.09912374278754589
DATENA,PSDB,112344,0.01838976299264812
MARINA HELENA,NOVO,84212,0.013784792433391046
RICARDO SENESE,UP,5593,0.0009155268142302298
ALTINO PRAZERES,PSTU,3017,0.0004938573929076709
JOÃO PIMENTA,PCO,960,0.00015714388372269278
BEBETO HADDAD,DC,833,0.00013635505743854486
