NR_ZONA,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,BAIRRO,RANK
3,MARINA HELENA,NOVO,1285,BRAS,6
3,RICARDO SENESE,UP,138,BRAS,7
3,ALTINO PRAZERES,PSTU,61,BRAS,8
3,JOÃO PIMENTA,PCO,21,BRAS,9
3,BEBETO HADDAD,DC,16,BRAS,10
3,GUILHERME BOULOS,PSOL,29701,PARI,1
3,RICARDO NUNES,MDB,24453,PARI,2
3,PABLO MARÇAL,PRTB,23934,PARI,3
3,TABATA AMARAL,PSB,8517,PARI,4
3,DATENA,PSDB,1481,PARI,5
3,MARINA HELENA,NOVO,1285,PARI,6
3,RICARDO SENESE,UP,138,PARI,7
3,ALTINO PRAZERES,PSTU,61,PARI,8
3,JOÃO PIMENTA,PCO,21,PARI,9
3,BEBETO HADDAD,DC,16,PARI,10
4,PABLO MARÇAL,PRTB,30053,AGUA RASA,1
4,RICARDO NUNES,MDB,27744,AGUA RASA,2
4,GUILHERME BOULOS,PSOL,20922,AGUA RASA,3
4,TABATA AMARAL,PSB,9372,AGUA RASA,4
4,MARINA HELENA,NOVO,1683,AGUA RASA,5
4,DATENA,PSDB,1271,AGUA RASA,6
4,RICARDO SENESE,UP,102,AGUA RASA,7
4,ALTINO PRAZERES,PSTU,42,AGUA RASA,8
4,JOÃO PIMENTA,PCO,20,AGUA RASA,9
4,BEBETO HADDAD,DC,12,AGUA RASA,10
4,PABLO MARÇAL,PRTB,30053,BELEM,1
4,RICARDO NUNES,MDB,27744,BELEM,2
4,GUILHERME BOULOS,PSOL,20922,BELEM,3
4,TABATA AMARAL,PSB,9372,BELEM,4
4,MARINA HELENA,NOVO,1683,BELEM,5
4,DATENA,PSDB,1271,BELEM,6
4,RICARDO SENESE,UP,102,BELEM,7
4,ALTINO PRAZERES,PSTU,42,BELEM,8
4,JOÃO PIMENTA,PCO,20,BELEM,9
4,BEBETO HADDAD,DC,12,BELEM,10
4,PABLO MARÇAL,PRTB,30053,MOOCA,1
4,RICARDO NUNES,MDB,27744,MOOCA,2
4,GUILHERME BOULOS,PSOL,20922,MOOCA,3
4,TABATA AMARAL,PSB,9372,MOOCA,4
4,MARINA HELENA,NOVO,1683,MOOCA,5
4,DATENA,PSDB,1271,MOOCA,6
4,RICARDO SENESE,UP,102,MOOCA,7
4,ALTINO PRAZERES,PSTU,42,MOOCA,8
4,JOÃO PIMENTA,PCO,20,MOOCA,9
4,BEBETO HADDAD,DC,12,MOOCA,10
5,RICARDO NUNES,MDB,26854,JD PAULISTA,1
5,GUILHERME BOULOS,PSOL,19831,JD PAULISTA,2
5,PABLO MARÇAL,PRTB,16642,JD PAULISTA,3
5,TABATA AMARAL,PSB,12788,JD PAULISTA,4
5,MARINA HELENA,NOVO,2420,JD PAULISTA,5
5,DATENA,PSDB,481,JD PAULISTA,6
5,RICARDO SENESE,UP,49,JD PAULISTA,7
5,ALTINO PRAZERES,PSTU,25,JD PAULISTA,8
5,JOÃO PIMENTA,PCO,19,JD PAULISTA,9
5,BEBETO HADDAD,DC,8,JD PAULISTA,10
5,RICARDO NUNES,MDB,26854,ITAIM BIBI,1
5,GUILHERME BOULOS,PSOL,19831,ITAIM BIBI,2
5,PABLO MARÇAL,PRTB,16642,ITAIM BIBI,3
5,TABATA AMARAL,PSB,12788,ITAIM BIBI,4
5,MARINA HELENA,NOVO,2420,ITAIM BIBI,5
5,DATENA,PSDB,481,ITAIM BIBI,6
5,RICARDO SENESE,UP,49,ITAIM BIBI,7
5,ALTINO PRAZERES,PSTU,25,ITAIM BIBI,8
5,JOÃO PIMENTA,PCO,19,ITAIM BIBI,9
5,BEBETO HADDAD,DC,8,ITAIM BIBI,10
6,GUILHERME BOULOS,PSOL,33840,VILA MARIANA,1
6,RICARDO NUNES,MDB,31577,VILA MARIANA,2
6,PABLO MARÇAL,PRTB,25526,VILA MARIANA,3
6,TABATA AMARAL,PSB,15694,VILA MARIANA,4
6,MARINA HELENA,NOVO,2589,VILA MARIANA,5
6,DATENA,PSDB,1281,VILA MARIANA,6
6,RICARDO SENESE,UP,135,VILA MARIANA,7
6,ALTINO PRAZERES,PSTU,74,VILA MARIANA,8
6,JOÃO PIMENTA,PCO,29,VILA MARIANA,9
6,BEBETO HADDAD,DC,16,VILA MARIANA,10
246,RICARDO NUNES,MDB,37459,SANTO AMARO,1
246,PABLO MARÇAL,PRTB,28571,SANTO AMARO,2
246,GUILHERME BOULOS,PSOL,23987,SANTO AMARO,3
246,TABATA AMARAL,PSB,13000,SANTO AMARO,4
246,MARINA HELENA,NOVO,2583,SANTO AMARO,5
246,DATENA,PSDB,1172,SANTO AMARO,6
246,RICARDO SENESE,UP,79,SANTO AMARO,7
246,ALTINO PRAZERES,PSTU,47,SANTO AMARO,8
246,JOÃO PIMENTA,PCO,17,SANTO AMARO,9
246,BEBETO HADDAD,DC,10,SANTO AMARO,10
246,RICARDO NUNES,MDB,37459,CAMPO GRANDE,1
246,PABLO MARÇAL,PRTB,28571,CAMPO GRANDE,2
246,GUILHERME BOULOS,PSOL,23987,CAMPO GRANDE,3
246,TABATA AMARAL,PSB,13000,CAMPO GRANDE,4
246,MARINA HELENA,NOVO,2583,CAMPO GRANDE,5
246,DATENA,PSDB,1172,CAMPO GRANDE,6
246,RICARDO SENESE,UP,79,CAMPO GRANDE,7
246,ALTINO PRAZERES,PSTU,47,CAMPO GRANDE,8
246,JOÃO PIMENTA,PCO,17,CAMPO GRANDE,9
246,BEBETO HADDAD,DC,10,CAMPO GRANDE,10
247,PABLO MARÇAL,PRTB,33154,SANTANA,1
247,RICARDO NUNES,MDB,30469,SANTANA,2
247,GUILHERME BOULOS,PSOL,30106,SANTANA,3
247,TABATA AMARAL,PSB,8873,SANTANA,4
247,DATENA,PSDB,2481,SANTANA,5
247,MARINA HELENA,NOVO,1218,SANTANA,6
247,RICARDO SENESE,UP,75,SANTANA,7
247,ALTINO PRAZERES,PSTU,39,SANTANA,8
247,BEBETO HADDAD,DC,19,SANTANA,9
247,JOÃO PIMENTA,PCO,13,SANTANA,10
247,PABLO MARÇAL,PRTB,33154,SAO MIGUEL,1
247,RICARDO NUNES,MDB,30469,SAO MIGUEL,2
247,GUILHERME BOULOS,PSOL,30106,SAO MIGUEL,3
247,TABATA AMARAL,PSB,8873,SAO MIGUEL,4
247,DATENA,PSDB,2481,SAO MIGUEL,5
247,MARINA HELENA,NOVO,1218,SAO MIGUEL,6
247,RICARDO SENESE,UP,75,SAO MIGUEL,7
247,ALTINO PRAZERES,PSTU,39,SAO MIGUEL,8
247,BEBETO HADDAD,DC,19,SAO MIGUEL,9
247,JOÃO PIMENTA,PCO,13,SAO MIGUEL,10
248,PABLO MARÇAL,PRTB,31778,VILA CURUCA,1
